prompt_length,word_count,sentence_count,estimated_prompt_tokens,avg_word_length,avg_sentence_length,question_count,special_char_count,punctuation_density,newline_count,bullet_count,numbered_list_count,contains_code_block,contains_json,contains_markdown,contains_table_like_structure,contains_urls,domain_complexity_score,contains_large_numeric_quantity,page_count_indicator,large_document_indicator,large_dataset_indicator,large_codebase_indicator,instruction_count,objective_diversity,multi_step_request,high_complexity_domain_terms,technology_count,technology_diversity,is_programming_request,task_category,attachment_count,primary_file_type,total_attachment_size_mb,conversation_turns,has_context,component_count,expected_output_format,is_structured_output,complexity
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,1,pdf,2.3,3,1,3,markdown,1,Medium
39,7,1,9,5.57,7.0,0,0,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Programming,0,none,0.0,0,0,1,code,1,Low
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,2,pdf,3.5,3,1,3,code,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,4,1,2,markdown,1,Medium
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,2,pdf,3.5,4,1,3,markdown,1,Medium
40,7,1,10,5.71,7.0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Programming,0,none,0.0,0,0,1,code,1,Low
30,6,1,7,5.0,6.0,1,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,General Question Answering,0,none,0.0,0,0,1,short_answer,0,Low
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,0,none,0.0,1,1,2,markdown,1,Medium
98,13,1,24,7.54,13.0,0,0,0.051,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,6,6,1,System Design,3,pdf,21.37,9,1,3,code,1,High
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,0,none,0.0,3,1,2,markdown,1,Medium
147,20,1,36,7.35,20.0,0,0,0.0204,0,0,0,0,0,0,0,0,7,1,300,1,0,0,1,1,0,1,0,0,1,Analysis & Review,0,none,0.0,3,1,2,json,1,High
30,4,1,7,7.5,4.0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,1,1,2,text,0,Low
49,8,1,12,6.12,8.0,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Processing,1,txt,0.2,0,0,2,short_answer,0,Low
18,3,1,4,6.0,3.0,0,0,0.0556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,System Design,0,none,0.0,10,1,2,code,1,High
94,14,1,23,6.71,14.0,0,0,0.0106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,1,Data Processing,1,pdf,1.85,1,1,3,code,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,1,code,0.74,4,1,3,markdown,1,Medium
36,7,1,9,5.14,7.0,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Programming,0,none,0.0,0,0,1,code,1,Low
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,pdf,0.78,2,1,3,markdown,1,Medium
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,0,none,0.0,4,1,2,markdown,1,Medium
75,12,1,18,6.25,12.0,0,0,0.0133,0,0,0,0,0,0,0,0,4,1,250,1,0,0,1,1,0,1,0,0,1,Analysis & Review,1,pdf,41.52,4,1,3,markdown,1,High
55,10,1,13,5.5,10.0,0,0,0.0182,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,1,Analysis & Review,2,pdf,37.98,4,1,3,markdown,1,High
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,pdf,2.66,1,1,3,markdown,1,Medium
24,4,1,6,6.0,4.0,0,0,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Programming,4,code,26.91,6,1,3,code,1,High
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,1,code,1.16,2,1,3,markdown,1,Medium
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,2,pdf,3.5,1,1,3,markdown,1,Medium
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,1,pdf,2.44,2,1,3,code,1,Medium
99,13,1,24,7.62,13.0,0,0,0.0505,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,1,System Design,0,none,0.0,5,1,2,code,1,High
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,1,csv,1.41,4,1,3,markdown,1,Medium
99,13,1,24,7.62,13.0,0,0,0.0505,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,1,System Design,0,none,0.0,8,1,2,code,1,High
147,20,1,36,7.35,20.0,0,0,0.0204,0,0,0,0,0,0,0,0,7,1,300,1,0,0,1,1,0,1,0,0,1,Analysis & Review,1,pdf,8.12,8,1,3,json,1,High
34,4,1,8,8.5,4.0,0,0,0.0294,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,Programming,3,code,18.32,6,1,3,code,1,High
118,16,1,29,7.38,16.0,0,0,0.0254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,2,pdf,13.82,9,1,3,json,1,High
118,16,1,29,7.38,16.0,0,0,0.0254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,4,code,23.91,10,1,3,json,1,High
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,code,2.07,1,1,3,markdown,1,Medium
118,16,1,29,7.38,16.0,0,0,0.0254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,4,code,28.37,10,1,3,json,1,High
30,4,1,7,7.5,4.0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,0,0,1,text,0,Low
23,3,1,5,7.67,3.0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,Programming,0,none,0.0,8,1,2,code,1,High
99,13,1,24,7.62,13.0,0,1,0.0707,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,5,1,System Design,2,csv,12.56,3,1,3,code,1,High
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,1,pdf,1.19,2,1,3,markdown,1,Medium
65,10,1,16,6.5,10.0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,1,code,2.08,1,1,3,summary,1,Medium
99,15,1,24,6.6,15.0,0,0,0.0505,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,1,System Design,1,pdf,10.7,10,1,3,code,1,High
34,4,1,8,8.5,4.0,0,0,0.0294,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,Programming,4,docx,23.1,5,1,3,code,1,High
30,4,1,7,7.5,4.0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,0,0,1,text,0,Low
23,3,1,5,7.67,3.0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,Programming,4,code,22.79,6,1,3,code,1,High
48,7,1,12,6.86,7.0,0,0,0.0208,0,0,0,0,0,0,0,0,3,1,400,1,0,0,1,1,0,1,0,0,1,Document Processing,1,pdf,28.13,7,1,3,markdown,1,High
55,10,1,13,5.5,10.0,0,0,0.0182,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,1,Analysis & Review,4,pdf,97.11,3,1,3,markdown,1,High
94,14,1,23,6.71,14.0,0,0,0.0106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,1,Data Processing,1,csv,2.98,4,1,3,code,1,Medium
39,7,1,9,5.57,7.0,0,0,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Programming,0,none,0.0,0,0,1,code,1,Low
34,4,1,8,8.5,4.0,0,0,0.0294,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,Programming,0,none,0.0,5,1,2,code,1,High
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,code,1.59,3,1,3,markdown,1,Medium
49,8,1,12,6.12,8.0,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Processing,0,none,0.0,1,1,2,short_answer,0,Low
18,3,1,4,6.0,3.0,0,0,0.0556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,System Design,4,code,23.56,8,1,3,code,1,High
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,pdf,1.96,3,1,3,markdown,1,Medium
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,2,pdf,3.5,4,1,3,markdown,1,Medium
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,2,pdf,3.5,3,1,3,code,1,Medium
118,16,1,29,7.38,16.0,0,0,0.0254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,1,pdf,9.57,10,1,3,json,1,High
57,7,1,14,8.14,7.0,0,0,0.0175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,2,pdf,48.91,8,1,3,markdown,1,High
36,7,1,9,5.14,7.0,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Programming,0,none,0.0,1,1,2,code,1,Low
46,10,1,11,4.6,10.0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Processing,0,none,0.0,1,1,2,short_answer,0,Low
30,4,1,7,7.5,4.0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,1,1,2,text,0,Low
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,3,1,2,markdown,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,1,docx,0.53,4,1,3,markdown,1,Medium
42,8,1,10,5.25,8.0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Programming,1,txt,0.2,1,1,3,code,1,Low
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,2,pdf,3.5,3,1,3,markdown,1,Medium
46,9,1,11,5.11,9.0,1,0,0.0217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Question Answering,0,none,0.0,0,0,1,short_answer,0,Low
35,5,1,8,7.0,5.0,0,0,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,0,0,1,text,0,Low
99,13,1,24,7.62,13.0,0,0,0.0505,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,1,System Design,0,none,0.0,6,1,2,code,1,High
37,5,1,9,7.4,5.0,0,1,0.0541,0,0,0,0,0,1,0,0,4,1,600,1,0,0,1,1,0,1,0,0,1,Translation,4,pdf,70.66,3,1,3,markdown,1,High
147,20,1,36,7.35,20.0,0,0,0.0204,0,0,0,0,0,0,0,0,7,1,300,1,0,0,1,1,0,1,0,0,1,Analysis & Review,4,csv,39.93,6,1,3,json,1,High
35,5,1,8,7.0,5.0,0,0,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,0,0,1,text,0,Low
49,8,1,12,6.12,8.0,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Processing,0,none,0.0,0,0,1,short_answer,0,Low
118,16,1,29,7.38,16.0,0,0,0.0254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,1,pdf,5.73,4,1,3,json,1,High
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,1,docx,2.46,4,1,3,code,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,1,docx,2.99,3,1,3,markdown,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,2,1,2,markdown,1,Medium
65,10,1,16,6.5,10.0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,1,docx,0.67,1,1,3,summary,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,2,pdf,3.5,2,1,3,markdown,1,Medium
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,0,none,0.0,4,1,2,markdown,1,Medium
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,1,csv,2.74,1,1,3,markdown,1,Medium
30,5,1,7,6.0,5.0,0,1,0.0667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,0,none,0.0,1,1,2,text,0,Low
118,16,1,29,7.38,16.0,0,0,0.0254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,1,pdf,5.23,3,1,3,json,1,High
65,10,1,16,6.5,10.0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,1,csv,0.92,3,1,3,summary,1,Medium
35,5,1,8,7.0,5.0,0,0,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,0,0,1,text,0,Low
87,14,1,21,6.21,14.0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Analysis & Review,1,csv,1.63,4,1,3,markdown,1,Medium
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,1,pdf,2.8,4,1,3,code,1,Medium
46,9,1,11,5.11,9.0,1,0,0.0217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Question Answering,0,none,0.0,1,1,2,short_answer,0,Low
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,code,2.27,3,1,3,markdown,1,Medium
66,10,1,16,6.6,10.0,0,0,0.0152,0,0,0,0,0,0,0,0,5,1,500,1,0,0,1,1,0,1,0,0,1,Analysis & Review,1,pdf,12.49,3,1,3,json,1,High
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,1,csv,0.67,2,1,3,code,1,Medium
65,10,1,16,6.5,10.0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,2,pdf,3.5,2,1,3,summary,1,Medium
94,14,1,23,6.71,14.0,0,0,0.0106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,1,Data Processing,1,pdf,1.42,3,1,3,code,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,2,pdf,3.5,4,1,3,markdown,1,Medium
40,7,1,10,5.71,7.0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Programming,0,none,0.0,0,0,1,code,1,Low
118,18,4,29,6.56,4.5,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,Programming,1,code,1.16,4,1,3,code,1,Medium
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,0,none,0.0,4,1,2,markdown,1,Medium
147,20,1,36,7.35,20.0,0,0,0.0204,0,0,0,0,0,0,0,0,7,1,300,1,0,0,1,1,0,1,0,0,1,Analysis & Review,1,pdf,12.94,9,1,3,json,1,High
43,7,1,10,6.14,7.0,0,0,0.0698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,1,txt,0.2,0,0,2,text,0,Low
94,14,1,23,6.71,14.0,0,0,0.0106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,1,Data Processing,1,csv,1.0,4,1,3,code,1,Medium
30,6,1,7,5.0,6.0,1,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,General Question Answering,0,none,0.0,0,0,1,short_answer,0,Low
39,5,1,9,7.8,5.0,0,1,0.0513,0,0,0,0,0,1,0,0,4,1,600,1,0,0,1,1,0,1,0,0,1,Translation,1,pdf,20.98,7,1,3,markdown,1,High
35,3,1,8,11.67,3.0,0,1,0.0571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Question Answering,0,none,0.0,0,0,1,short_answer,0,Low
48,7,1,12,6.86,7.0,0,0,0.0208,0,0,0,0,0,0,0,0,3,1,400,1,0,0,1,1,0,1,0,0,1,Document Processing,1,pdf,38.18,9,1,3,markdown,1,High
52,8,1,13,6.5,8.0,0,0,0.0192,0,0,0,0,0,0,0,0,4,1,500,1,0,0,0,0,0,1,0,0,1,Translation,3,pdf,57.37,7,1,3,markdown,1,High
43,7,1,10,6.14,7.0,0,0,0.0698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Translation,1,pdf,0.2,0,0,2,text,0,Low
105,13,1,26,8.08,13.0,0,1,0.0286,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Translation,1,csv,1.69,1,1,3,markdown,1,Medium
30,5,1,7,6.0,5.0,0,1,0.0667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,0,none,0.0,0,0,1,text,0,Low
23,3,1,5,7.67,3.0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,Programming,2,docx,8.88,6,1,3,code,1,High
39,7,1,9,5.57,7.0,0,0,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Programming,0,none,0.0,0,0,1,code,1,Low
43,6,1,10,7.17,6.0,0,0,0.0233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Analysis & Review,0,none,0.0,0,0,1,text,0,Low
88,12,1,22,7.33,12.0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,Analysis & Review,1,docx,0.82,2,1,3,markdown,1,Medium
46,10,1,11,4.6,10.0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Processing,0,none,0.0,0,0,1,short_answer,0,Low
57,7,1,14,8.14,7.0,0,0,0.0175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,1,pdf,40.09,9,1,3,markdown,1,High
57,7,1,14,8.14,7.0,0,0,0.0175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,2,pdf,42.58,7,1,3,markdown,1,High
49,8,1,12,6.12,8.0,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Processing,0,none,0.0,0,0,1,short_answer,0,Low
35,3,1,8,11.67,3.0,0,1,0.0571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Question Answering,0,none,0.0,0,0,1,short_answer,0,Low
66,10,1,16,6.6,10.0,0,0,0.0152,0,0,0,0,0,0,0,0,5,1,500,1,0,0,1,1,0,1,0,0,1,Analysis & Review,2,csv,17.68,10,1,3,json,1,High
26,4,1,6,6.5,4.0,0,0,0.0385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,Programming,1,pdf,7.16,7,1,3,code,1,High
30,5,1,7,6.0,5.0,0,1,0.0667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Analysis & Review,0,none,0.0,0,0,1,text,0,Low
65,10,1,16,6.5,10.0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Document Processing,0,none,0.0,4,1,2,summary,1,Medium
52,8,1,13,6.5,8.0,0,0,0.0192,0,0,0,0,0,0,0,0,4,1,500,1,0,0,0,0,0,1,0,0,1,Translation,2,pdf,38.92,9,1,3,markdown,1,High
